dataset,channels,participants,trials,model,acc_mean,acc_std,macro_f1
BCI-IV-2b,all,9,6520,Shrinkage-LDA,0.689,0.085,0.679
BCI-IV-2b,all,9,6520,Logistic Regression,0.685,0.087,0.675
BCI-IV-2b,all,9,6520,XGBoost,0.658,0.074,0.646
BCI-IV-2b,all,9,6520,Random Forest,0.655,0.075,0.64
BCI-IV-2b,all,9,6520,"SVM-RBF (supervised, 100%)",0.648,0.087,0.625
BCI-IV-2b,all,9,6520,Self-Training SVM-RBF (20% labels),0.641,0.069,0.618
BCI-IV-2b,all,9,6520,MLP (64),0.625,0.072,0.608
BCI-IV-2b,all,9,6520,Decision Tree,0.56,0.046,0.557
BCI-IV-2b,all+subjnorm,9,6520,Shrinkage-LDA,0.707,0.088,0.706
BCI-IV-2b,all+subjnorm,9,6520,Logistic Regression,0.707,0.087,0.707
BCI-IV-2b,all+subjnorm,9,6520,Random Forest,0.705,0.077,0.705
BCI-IV-2b,all+subjnorm,9,6520,"SVM-RBF (supervised, 100%)",0.701,0.079,0.701
BCI-IV-2b,all+subjnorm,9,6520,XGBoost,0.697,0.076,0.697
BCI-IV-2b,all+subjnorm,9,6520,Self-Training SVM-RBF (20% labels),0.694,0.083,0.693
BCI-IV-2b,all+subjnorm,9,6520,MLP (64),0.68,0.069,0.68
BCI-IV-2b,all+subjnorm,9,6520,Decision Tree,0.612,0.047,0.612
PhysioNet-MI (left_hand/right_hand),all,109,4918,Logistic Regression,0.595,0.094,0.565
PhysioNet-MI (left_hand/right_hand),all,109,4918,Shrinkage-LDA,0.593,0.093,0.562
PhysioNet-MI (left_hand/right_hand),all,109,4918,MLP (64),0.584,0.08,0.548
PhysioNet-MI (left_hand/right_hand),all,109,4918,"SVM-RBF (supervised, 100%)",0.575,0.084,0.529
PhysioNet-MI (left_hand/right_hand),all,109,4918,XGBoost,0.566,0.082,0.539
PhysioNet-MI (left_hand/right_hand),all,109,4918,Random Forest,0.544,0.073,0.516
PhysioNet-MI (left_hand/right_hand),all,109,4918,Self-Training SVM-RBF (20% labels),0.535,0.064,0.446
PhysioNet-MI (left_hand/right_hand),all,109,4918,Decision Tree,0.511,0.083,0.5
PhysioNet-MI (left_hand/right_hand),all+subjnorm,109,4918,"SVM-RBF (supervised, 100%)",0.62,0.097,0.618
PhysioNet-MI (left_hand/right_hand),all+subjnorm,109,4918,Shrinkage-LDA,0.616,0.102,0.615
